"","City","p_val","CI95_min","CI95_max","weather_high","weather_low"
"1","ATLANTA","0.522238846122342","-2.30051369152294","4.51163307070864","101.895751390808","100.790191701215"
"2","AUSTIN","0.000322289556969774","3.29263797606214","10.9905168807933","103.335398350433","96.193820922005"
"3","BALTIMORE","0.834329915882682","-4.37879339991178","5.41404649204929","103.988448754972","103.470822208903"
"4","CHARLOTTE","0.921309262602142","-4.58120406883123","4.14452357954756","101.528213758459","101.7465540031"
"5","CHICAGO","0.817699953601101","-4.6304006520334","3.66700951523187","98.954032480044","99.4357280484448"
"6","DALLAS","0.117532174530992","-0.663417074663022","5.88087874072281","101.698426184407","99.0896953513776"
"7","HOUSTON","0.0616795996652805","-0.159597908716311","6.62433570256801","101.462800309997","98.2304314130716"
"8","INDIANAPOLIS","0.774219122300457","-5.2482243043309","7.02254443262788","103.41751604931","102.530355985162"
"9","KANSAS_CITY","0.446529407051905","-3.62822576904329","8.17393859363562","99.2954145121882","97.022558099892"
"10","LOS_ANGELES","0.0422259771236475","0.152317210877378","8.31423806976367","103.220760407442","98.9874827671211"
"11","MIAMI","0.611459948275786","-13.8129180869675","8.35741887381835","98.9566940607332","101.684443667308"
"12","NASHVILLE","0.20972932734305","-2.11007040909344","9.52164748011323","103.762078994277","100.056290458767"
"13","NEW_YORK","0.459425819969536","-2.85362474443662","6.26076437389889","100.334387708992","98.6308178942612"
"14","PHILADELPHIA","0.286321512064009","-6.10558777664561","1.82479148866476","101.409469640273","103.549867784264"
"15","PHOENIX","0.0314075084311232","0.373479149782322","7.89065244614864","101.523060105665","97.3909943076993"
"16","RALEIGH","0.0270772227420393","0.588275899617987","9.63882033435258","103.258557469596","98.1450093526103"
"17","SACRAMENTO","0.0519262544890965","-0.0502208239651934","11.8433598194408","106.227592921368","100.33102342363"
"18","SAN_ANTONIO","0.674678954461603","-7.27970972543936","4.72164259797193","98.5017747057725","99.7808082695062"
"19","WASHINGTON","0.226087307041462","-2.11332215392659","8.85900485371838","102.295810209648","98.9229688597518"
