"","City","p_val","CI95_min","CI95_max","weather_high","weather_low"
"1","ATLANTA","0.0129951648219629","1.27410733024155","10.6667668994208","104.709870869559","98.7394337547275"
"2","AUSTIN","0.00245448188923006","3.2689781202904","15.0114633761956","104.376033213924","95.2358124656806"
"3","BALTIMORE","0.0208897202497951","1.37807840161134","16.5631945443389","104.573194189658","95.6025577166831"
"4","BOSTON","0.869288349655378","-7.67669769787155","6.4995020897167","105.686005709902","106.274603513979"
"5","CHARLOTTE","0.0175660736666334","1.38526339430165","14.2984995172482","104.19052867537","96.348647219595"
"6","CHICAGO","0.000887155908158582","4.13108599919182","15.4532141824857","106.778281438311","96.9861313474718"
"7","COLUMBUS","0.083104444876692","-0.783102599327421","12.5627329001611","104.061755338428","98.1719401880114"
"8","DALLAS","7.42690323226449e-06","7.04295975052307","17.599685034826","107.27434891188","94.9530265192056"
"9","DETROIT","0.859577237638719","-21.1774705492658","17.7073183074585","104.162403124917","105.89747924582"
"10","HOUSTON","0.30236811766966","-5.56053270914559","17.7574149262357","102.704003079292","96.6055619707467"
"11","INDIANAPOLIS","0.0765731352562057","-0.813380839176603","15.834121687732","106.338694418165","98.8283239938869"
"12","JACKSONVILLE","0.0149237537803038","2.16756886928104","19.6759933116284","105.500841116188","94.5790600257329"
"13","KANSAS_CITY","1.16951445341035e-05","7.21775563939197","18.3049995881603","108.727962279623","95.9665846658467"
"14","LOS_ANGELES","0.0406211109903686","0.31574395239668","14.2130030983918","106.803586950737","99.5392134253428"
"15","LOUISVILLE","8.16852473115093e-06","9.75256576802515","24.3205933216008","112.183429796393","95.1468502515795"
"16","MEMPHIS","1.85840070432093e-08","10.1387806421057","20.3150566310597","108.919824697087","93.6929060605042"
"17","MIAMI","0.336703886707451","-11.0696745712066","29.8390976667529","99.1117097606282","89.7269982128551"
"18","MILWAUKEE","0.922693266299407","-14.3248048498638","12.9905893703984","101.448026992205","102.115134731938"
"19","MINNEAPOLIS","0.0385189691563627","0.4620085628587","16.517187257647","107.73704014678","99.247442236527"
"20","NASHVILLE","0.0264181473747803","1.0181948179602","16.1446223421557","104.8863212381","96.3049126580419"
"21","NEW_ORLEANS","0.0637251227904483","-0.528190594302188","18.7633451332472","101.849343689826","92.7317664203535"
"22","NEW_YORK","0.0100257307242778","2.02183117629017","14.5828592288471","101.913191569145","93.6108463665766"
"23","OMAHA","0.758127754631185","-15.4311698267763","11.2687722857927","99.7786153395785","101.85981411007"
"24","PHILADELPHIA","0.0460390471647139","0.134239542963379","14.8890469856061","104.259349367441","96.7477061031558"
"25","RALEIGH","3.65872677710565e-08","10.9332091345422","22.3648230305687","109.163116025909","92.5140999433539"
"26","SAN_ANTONIO","1.1080979053247e-07","8.70143387186388","18.3136868382303","107.592977661215","94.0854173061684"
"27","SAN_DIEGO","0.369507721047987","-6.9960785255902","18.6917330922312","100.408438673184","94.5606113898639"
