"","City","p_val","CI95_min","CI95_max","weather_high","weather_low"
"1","ATLANTA","0.451021158622739","-4.03638036095837","9.04488109428346","102.598378658416","100.094128291754"
"2","AUSTIN","1.43559869380373e-05","9.34033082482948","24.1559772064544","107.748430192504","91.0002761768625"
"3","BALTIMORE","0.0507744231517128","-0.0186204821791152","10.9302233267929","103.003141451072","97.5473400287647"
"4","BOSTON","0.158994808826227","-2.62695382516381","15.799677808","104.64250633304","98.0561443416223"
"5","CHARLOTTE","4.81327008518999e-05","4.87499053163987","13.6416075619752","105.560851763512","96.3025527167048"
"6","CHICAGO","0.131067271472891","-2.63067746164672","19.9451999557272","109.017363851618","100.360102604578"
"7","COLUMBUS","0.00109904166094881","5.20914003790367","20.3258328142203","105.51341424465","92.7459278185883"
"8","DALLAS","0.000447384306824287","5.13038460830186","17.7728203958898","103.953053459728","92.501450957632"
"9","DETROIT","0.00920762700416797","2.98902076059847","20.4917917518656","105.848836215492","94.1084299592604"
"10","HOUSTON","0.503355814679427","-6.59105816026864","13.3508891644935","99.9610009749756","96.5810854728632"
"11","INDIANAPOLIS","0.0292699202025616","0.71864115532201","13.3024403640443","104.409655086384","97.3991143267012"
"12","JACKSONVILLE","0.00142710077227989","6.73901951907019","27.4940285388627","106.627526737824","89.5110027088572"
"13","KANSAS_CITY","0.0295729947064186","0.836763550022777","15.7765519168623","106.077901023185","97.7712432897425"
"14","LOS_ANGELES","9.08156134034e-06","11.1178879821488","27.5983578074951","117.447525166987","98.089402272165"
"15","LOUISVILLE","0.642903651815708","-5.32577427222991","8.60040107626848","100.064005946359","98.4266925443396"
"16","MEMPHIS","0.000272291967304875","4.14991657305913","13.5596410735489","105.573872385568","96.7190935622639"
"17","MIAMI","0.234718611571426","-16.5712171008198","60.954789621116","128.247881061553","106.056094801405"
"18","MILWAUKEE","0.76516552926832","-17.642069435946","13.0305332561818","101.851342177208","104.15711026709"
"19","MINNEAPOLIS","0.0582368455841918","-0.350676494403861","19.8860844212713","109.027473406661","99.259769443227"
"20","NASHVILLE","0.162012279201072","-2.06589783168118","12.2482039688482","101.554094794462","96.4629417258787"
"21","NEW_ORLEANS","0.616343233108432","-11.0082436315118","18.4989419950823","98.2708285316036","94.5254793498183"
"22","NEW_YORK","0.0805394322003183","-0.961523677365318","16.5297247984796","104.478087311024","96.6939867504671"
"23","OMAHA","0.737851585736019","-13.0654947127395","9.27900955208216","98.9800506908675","100.873293271196"
"24","PHILADELPHIA","0.190419313362723","-2.93695258349737","14.6072575695768","103.644646924829","97.8094944317894"
"25","RALEIGH","0.0624000485528952","-0.391707769227191","15.3621373768151","104.07736656128","96.5921517574856"
