"","City","p_val","CI95_min","CI95_max","weather_high","weather_low"
"1","ATLANTA","0.0639552638469165","-0.367977672926487","12.9271726936128","103.869475435435","97.5898779250914"
"2","AUSTIN","0.173968149391806","-3.41893774610588","18.5961116870393","103.446616888615","95.8580299181485"
"3","BALTIMORE","0.72951942045585","-6.71166673690927","4.70998939026198","99.3811508170513","100.381989490375"
"4","BOSTON","0.801504165120122","-7.96605117804127","6.16648775851583","98.4684189042895","99.3682006140522"
"5","CHARLOTTE","0.144422699722923","-1.32530497576796","8.95934103190749","103.261564182899","99.4445461548293"
"6","CHICAGO","0.720746324505109","-7.3594568335158","10.6114051991314","98.4835742104106","96.8576000276027"
"7","COLUMBUS","0.0296309223631565","-17.2141980903658","-0.909709888667367","97.5520529994176","106.614006988934"
"8","DETROIT","0.00186870496594313","-13.8215399804524","-3.18723469833167","94.3121278596051","102.816515198997"
"9","FRESNO","0.704211923872722","-15.5129476260047","10.5460602087862","96.6769157994324","99.1603595080416"
"10","HOUSTON","0.001142587487916","5.72196359729938","22.6008726355923","104.927123657352","90.7657055409058"
"11","INDIANAPOLIS","0.0398848419905344","-10.8399656843473","-0.25936417005021","96.3984005211474","101.948065448346"
"12","JACKSONVILLE","0.841084483687679","-10.1882004290941","8.30538278590783","99.4256089532587","100.367017774852"
"13","KANSAS_CITY","0.004688442362942","3.45594171704627","18.6800005650989","106.290688372025","95.2227172309522"
"14","LOUISVILLE","0.76863066850178","-7.49096421432535","10.106064308417","97.8131793257844","96.5056292787385"
"15","MEMPHIS","0.614980802328708","-5.38340693997104","9.04749990378993","102.470396445782","100.638349963873"
"16","MIAMI","0.0595267282814169","-0.39498736462197","19.786236986605","105.483085272458","95.7874604614668"
"17","MILWAUKEE","0.819140821592412","-11.6127381688285","9.19733101550736","101.787734781625","102.995438358285"
"18","MINNEAPOLIS","0.235822068698514","-9.51402463894289","2.35861359596237","97.6581099754934","101.235815496984"
"19","NASHVILLE","0.00659311122653784","2.86649613594619","17.3622406832351","105.504506593044","95.3901381834531"
"20","NEW_ORLEANS","0.910809707439559","-13.8555571401011","15.5243709527447","105.343871923125","104.509465016803"
"21","NEW_YORK","0.0861497840143136","-20.8410837179526","1.42268231957348","95.3360877165104","105.0452884157"
"22","OMAHA","0.858328572998868","-9.97150545538033","11.9555351068125","100.533616766141","99.5416019404246"
"23","PHILADELPHIA","0.0734279810766034","-15.5532023373138","0.716912330180972","91.6798969190769","99.0980419226433"
"24","PORTLAND","0.00238065030598529","-12.8562349660358","-2.81362880084065","97.5624656362637","105.397397519702"
"25","RALEIGH","0.64115563616223","-6.7841024128792","10.9840014537677","102.086182368868","99.9862328484237"
"26","SACRAMENTO","0.316659930369131","-14.9606162261794","4.89633199309719","94.6402156632336","99.6723577797747"
