"","City","p_val","CI95_min","CI95_max","weather_high","weather_low"
"1","ATLANTA","0.508935117562316","-4.0538568895933","2.01729956665908","98.7584833242882","99.7767619857553"
"2","AUSTIN","0.0357302885405652","-12.7322937340192","-0.450096464730665","96.5356574554607","103.126852554836"
"3","BALTIMORE","0.725822250651199","-5.60649129122481","3.91436708507021","100.327224734679","101.173286837756"
"4","BOSTON","0.901153272324856","-3.20299356845388","3.63304159549578","100.689881240583","100.474857227062"
"5","CHARLOTTE","0.696615387785492","-5.3720392679937","3.599630223254","100.296196819207","101.182401341577"
"6","CHICAGO","0.426438828995477","-5.2073390234157","2.21563727306714","99.4300875851146","100.925938460289"
"7","COLUMBUS","0.627684837324495","-4.96267514573458","8.19622811947269","103.679466712494","102.062690225625"
"8","DETROIT","0.194466748341466","-1.25564786662879","6.13036111879042","100.763190400565","98.3258337744839"
"9","HOUSTON","0.0546576717497701","-0.0744245180789127","7.43435615296649","100.313785183998","96.6338193665545"
"10","INDIANAPOLIS","0.0177160642915369","-9.60323030703535","-0.924402454193477","97.1588130253296","102.422629405944"
"11","KANSAS_CITY","0.0419023665742131","0.219686248664086","11.5991670952759","104.788284225496","98.8788575535262"
"12","MIAMI","0.187430646999916","-6.83335142176572","1.35110956541488","98.4797835903027","101.220904518478"
"13","MILWAUKEE","0.857636391265738","-4.70060100408259","3.91607773712153","98.4903584730713","98.8826201065518"
"14","MINNEAPOLIS","0.114754356523927","-6.61114047271195","0.721994547399385","98.200703776455","101.145276739111"
"15","NASHVILLE","0.540398792571005","-6.92896324648799","3.64671282464945","98.2825971384324","99.9237223493516"
"16","NEW_YORK","0.0643999593948803","-10.3530466088355","0.309754041455054","95.8376455840123","100.859291867703"
"17","PHILADELPHIA","0.0428660141285409","-8.40405291992661","-0.139850415175637","96.3444503408581","100.616402008409"
"18","PORTLAND","0.45821157972133","-15.5580463200738","7.03966262877419","96.7783036039316","101.037495449581"
"19","RALEIGH","0.659622124391674","-3.23474601173588","5.09535813523401","100.492436045185","99.5621299834364"
"20","SACRAMENTO","0.00648480155167758","-13.0289171637237","-2.18511261195029","94.1651332285865","101.772148116423"
"21","SAN_ANTONIO","0.56714730527212","-6.5858189750141","11.9437742807815","103.366787100227","100.687809447344"
"22","SAN_DIEGO","0.116690493181381","-7.86058418996718","0.883972212843571","100.214892383259","103.703198371821"
"23","SAN_FRANCISCO","0.262856726732003","-4.43674556211093","1.21957328640236","98.7470815375299","100.355667675384"
"24","SEATTLE","0.00207281680924384","-7.57988482465829","-1.71184711944536","98.708293223101","103.354159195153"
